Custom Map#25 28
0 0 0 0
0 48 0 32
1 0 0 0
0 32 0 32
3 0 0 0
0 32 0 32
0 0 0 0
1 32 0 32
1 0 0 0
1 32 0 32
1 0 0 0
1 32 0 32
1 0 0 0
1 32 0 32
1 0 0 0
1 32 0 32
1 0 0 0
0 32 0 32
0 0 0 0
0 32 0 32
0 0 0 0
0 32 0 32
0 0 0 0
0 32 0 32
0 0 0 0
1 0 32 32
1 32 32 32
0 48 32 32
0 48 32 48
0 48 32 48
0 48 32 32
0 48 32 48
1 32 32 32
1 48 32 32
1 48 32 32
1 32 32 32
1 32 32 32
1 32 32 32
1 32 32 32
1 32 32 32
0 32 32 32
0 32 32 32
0 32 32 48
0 32 32 32
0 48 32 32
0 32 32 32
0 32 32 32
0 32 32 32
0 32 32 32
0 32 32 0
1 0 32 32
1 32 32 32
1 32 32 32
0 32 48 32
3 32 32 32
0 32 48 32
3 32 32 32
3 32 32 32
1 32 32 32
1 32 32 32
0 48 32 32
0 48 32 48
0 32 32 48
1 32 32 32
0 48 32 48
1 32 36 32
0 48 32 48
0 32 32 32
0 32 48 32
1 48 32 32
0 48 32 48
0 32 32 32
0 48 32 32
0 48 32 56
0 34 34 0
1 0 32 32
1 32 32 32
0 32 32 48
3 32 32 32
3 32 32 48
3 32 32 32
0 48 32 32
0 48 32 32
3 32 32 32
3 32 32 32
1 32 32 32
0 32 48 32
0 48 32 32
0 48 32 32
1 32 32 32
1 32 32 32
0 36 32 32
1 32 32 32
1 32 32 32
1 32 48 32
1 32 32 32
1 32 32 32
1 32 32 32
0 32 32 34
1 34 32 0
1 0 32 32
0 32 32 48
0 32 48 32
3 32 32 32
1 32 48 32
1 32 32 32
3 32 32 32
0 32 48 32
3 32 32 32
3 32 32 32
1 32 32 32
0 32 48 32
0 32 32 32
1 32 32 32
0 48 32 32
1 32 32 32
0 32 36 32
1 36 32 32
0 32 32 32
0 32 32 32
0 48 32 32
0 32 32 32
1 32 32 32
1 34 34 32
1 34 32 0
0 0 32 48
1 32 32 32
3 32 32 32
3 32 32 32
0 32 48 32
1 32 32 32
3 32 32 32
1 32 32 32
0 48 32 32
1 48 32 32
1 32 32 32
0 32 48 32
0 32 32 32
1 32 32 32
1 32 48 32
0 32 32 32
0 32 32 32
1 32 36 32
1 32 32 32
1 32 32 32
0 32 48 32
1 32 32 32
0 32 32 34
1 34 32 32
1 32 32 0
0 0 48 32
3 32 32 32
3 32 32 32
1 32 32 48
1 32 48 32
1 32 32 32
1 32 32 32
3 32 32 32
3 32 32 32
1 32 32 32
1 48 32 32
0 48 48 48
0 32 32 32
0 48 32 32
0 32 48 32
1 32 32 32
0 32 32 32
1 32 32 32
1 36 32 32
0 36 32 48
0 32 48 32
0 32 32 32
1 32 32 34
1 32 34 34
